"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Управление пользователями","0","Создание пользователя","5","0","","0"
"0","Управление пользователями","0","Получение списка пользователей","1","0","","0"
