"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Управление пользователями","0","Создание пользователя","5","0","","0"
"0","Управление играми","0","Поиск игр по имени","3","0","","0"
"0","Управление пользователями","0","Получение списка пользователей","1","0","","0"
"0","Управление играми","0","Получение списка игр","1","0","","0"
"0","Управление играми","0","Получение игры по id","1","0","","0"
